X,Y,Name,loc,wifi,plug,price,operating,google place id
121.0740083,14.6366859,Starbucks Katipunan,Katipunan,no,yes,115 - 225,6:30 AM - 11:30 PM,ChIJ3SyCsH63lzMRqMKiFXOX7Ck
121.0749448,14.6507782,Starbucks UP Town Center,Katipunan,no,yes,115 - 225,"7 AM - 10 PM (Mon to Thurs), 7 AM - 11 PM (Fri), 8 AM - 11 PM (weekends)",ChIJk3pERGO3lzMR3QX9U
121.0755194,14.6518448,The Coffee Bean & Tea Leaf - U.P. Town Center,Katipunan,no,no,125 - 225,9 AM - 10 PM,ChIJGwBAu2O3lzMRGKCiEy_hT70
121.0743106,14.6408269,The Coffee Bean & Tea Leaf Katipunan,Katipunan,no,yes,125 - 225,"7 AM - 10 PM (weekdays), 7 AM - 9 PM (weekends)",ChIJA40yJn-3lzMRwso9Vv5TnQM
121.0741176,14.6375047,Seattle's Best Coffee,Katipunan,yes (2 hrs),yes,110 - 210,24/7,ChIJU8oI8YG3lzMRHV630W9p96Q
121.0740979,14.6473556,Chapter Coffee Roastery and Cafe Inc. UP Town Center,Katipunan,yes (2 hrs),yes,80 - 230,"10 AM - 9 PM (weekends), 10 AM - 10 PM (weekdays)",ChIJwYcrlXe3lzMRpw7uwSs4mWg
121.0750263,14.6514676,The Fat Seed Cafe + Roastery,Katipunan,yes,yes,"120 - 280 (drinks), 170 - 590 (food)","10 AM - 9 PM (Mon to Thu), 10 AM - 10PM (Fri to Sun)",ChIJoTVFn2O3lzMR8bZt6jn1MTc
121.0738605,14.633733,Almusal Cafe,Katipunan,no,yes,80 - 1195,"9 AM - 4 PM (Sun to Thu), 9 AM - 2 AM (Fri to Sat)",ChIJXdUq4PK3lzMR_ppH3ZywlwQ
121.0742611,14.6395583,Tyler's Cafe,Katipunan,yes,yes,40 - 605,7 AM to 8 PM,ChIJR31kSH-3lzMRfwgbBE-PlNg
121.0732354,14.6410973,Coffee Theory Roasters - Esteban Abada,Katipunan,yes (1 hr),no,100 - 300,9 AM - 7 PM,ChIJxRZN5LG3lzMRvsy2c0eVS-w
121.074244,14.639685,Dunkin Donuts Katipunan Branch,Katipunan,no,no,60 - 270 (drinks),24/7,ChIJryruiDW3lzMRE0ShvJLn4C4
121.0746562,14.6492623,J.CO Donuts & Coffee,Katipunan,yes,yes,55 - 690,"9 AM - 9 PM (weekdays), 9 AM - 10 PM (weekends)",ChIJHXjNPmO3lzMRhxOtuC73Xag
121.0597687,14.6463461,Bo's Coffee,Maginhawa,yes (30 minutes per transaction),yes,110 - 220,7 AM - 10 PM,ChIJm81Am3O3lzMR9eErcbRSF24
121.0613862,14.6420071,Chapter Coffee Roastery & Cafe,Maginhawa,yes,yes,140 - 230,9 AM - 9 PM,ChIJnb2jxXW3lzMRtjQO4sAfiI4
121.0599732,14.6462755,Black Scoop Café Maginhawa,Maginhawa,no,yes,80 - 205,10 AM - 11 PM,ChIJD5f-j3O3lzMR3fQANjp0s_8
121.0593675,14.6436322,SGD Coffee Bodega,Maginhawa,yes,yes,95 - 215,7:30 AM - 9 PM,ChIJ3VMTVnS3lzMRksQVhHMxrfQ
